lsoa21cd,mean_delay,vehicle_count
E01033677,3.38,13
E01033658,5.08,20
E01033658,4.95,20
E01033653,3.73,13
E01034115,0.13,1
E01034115,-0.35,21
E01005210,-0.65,24
E01033658,2.13,1
E01033658,0.44,29
E01033677,0.27,1
E01033677,-1.49,29
E01005212,3.37,13
E01005210,2.94,11
E01034115,1.85,12
E01034115,3.13,1
E01005714,4.54,16
E01005715,1.52,1
E01005715,4.53,30
E01005741,4.57,20
E01005740,1.34,1
E01005740,3.92,30
E01005694,0.55,1
E01005694,2.22,28
E01005694,6.96,14
E01005690,6.22,19
E01005690,2.26,1
E01005690,3.92,28
E01005687,5.22,20
E01005687,2.08,1
E01005687,4.77,30
E01005740,1.12,1
E01005740,3.81,30
E01005714,5.3,21
E01005717,4.25,15
E01005717,0.06,1
E01005717,3.82,29
E01006333,2.1,16
E01006333,6.72,9
E01006332,0.49,1
E01006332,2.79,28
E01006332,4.15,2
E01006332,0.41,1
E01006332,2.53,28
E01006332,3.79,2
E01006293,-1.86,1
E01006293,0.94,28
E01006293,2.3,2
E01006294,-1.87,1
E01006294,1.09,28
E01006294,0.8,2
E01006378,-0.94,1
E01006378,2.36,28
E01006378,0.94,1
E01006380,0.14,1
E01006380,3.05,28
E01006380,1.04,1
E01005716,-1.03,1
E01005716,2.81,29
E01005716,1.66,3
E01033658,8.17,14
E01033658,2.89,16
E01033990,3.8,16
E01033989,8.57,14
E01033989,4.57,16
E01033991,9.34,15
E01033991,4.74,16
E01032906,5.11,16
E01032906,8.65,14
E01033991,9.22,14
E01033991,5.17,16
E01033991,9.38,14
E01033991,5.3,16
E01005682,4.01,16
E01005610,9.81,15
E01005681,9.2,15
E01005680,2.59,16
E01005212,0.26,14
E01033653,-1.59,14
E01033662,5.2,10
E01005066,5.39,11
E01033662,-0.5,14
E01033677,4.49,8
E01033658,6.08,11
E01033658,8.81,13
E01033653,4.55,8
E01034115,1.56,14
E01005210,1.21,14
E01033658,2.27,16
E01033677,-0.05,16
E01005212,6.08,11
E01005210,7.08,12
E01034115,7.25,13
E01005714,8.92,12
E01005715,5.78,16
E01005741,7.86,13
E01005740,4.89,16
E01005694,2.91,16
E01005694,13.15,8
E01005690,10.67,11
E01005690,4.85,16
E01005687,8.2,14
E01005687,5.58,16
E01005740,4.87,16
E01005714,8.3,13
E01005717,8.01,8
E01005717,5.41,16
E01006294,1.13,4
E01006294,6.73,18
E01006294,-1.3,1
E01006378,7,18
E01006380,7.2,18
E01005716,4.99,18
E01005716,4.28,4
E01006244,9.24,1
E01006239,6.23,11
E01006244,6.58,12
E01006244,5.85,18
E01006292,5.89,12
E01006292,6.04,18
E01006293,5.8,11
E01006293,6.32,18
E01006294,7,18
E01004886,-0.94,1
E01004886,-1.77,1
E01004886,-0.29,1
E01004886,-0.07,1
E01004887,-0.09,1
E01004887,-0.23,1
E01004885,-3.85,1
E01004887,-0.98,1
E01004886,-0.59,1
E01004781,-2.04,1
E01004886,-2.21,1
E01004886,-1.62,1
E01004936,-16.27,1
E01004937,-19.27,1
E01004939,-19.56,1
E01004939,-19.81,1
E01004939,-18.57,1
E01004939,-18.08,1
E01004936,-17.27,1
E01004894,-14.82,1
E01004895,-16.52,1
E01004894,-15.6,1
E01004895,-15.08,1
E01006285,-17.51,1
E01006285,-17.27,1
E01004934,-18.33,1
E01006285,-17.39,1
E01006349,-17.92,1
E01006306,-16.24,1
E01006306,-16.93,1
E01006306,-17.53,1
E01006272,-19.1,1
E01006308,-19.09,1
E01006308,-20.36,1
E01006307,-18.41,1
E01006307,-19,1
E01006306,-18.47,1
E01006286,-16.99,1
E01006286,-16.38,1
E01006243,-19.4,1
E01006242,-19.81,1
E01006286,-16.98,1
E01006275,-15.93,1
E01006275,-16.46,1
E01006272,-16.5,1
E01006272,-15.76,1
E01006269,-15.2,1
E01006269,-14.21,1
E01006245,-19.06,1
E01006243,-19.31,1
E01006243,-18.82,1
E01006242,-18.17,1
E01004933,-17.55,1
E01006285,-16.7,1
E01006307,-17.93,1
E01006269,-21.27,1
E01006280,-19.96,1
E01006280,-19.17,1
E01006280,-19.53,1
E01006277,-18.9,1
E01006277,-18.59,1
E01006274,-18.04,1
E01006276,-19,1
E01006349,-15.65,1
E01006306,-16.07,1
E01006306,-16.52,1
E01006278,-19.74,1
E01006279,-19.05,1
E01006306,-17.16,1
E01006364,8.76,1
E01006365,5.24,1
E01006364,1.94,1
E01006272,-25.98,1
E01006272,-25.98,1
E01006308,-24.97,1
E01006308,-24.18,1
E01006307,-20.32,1
E01006307,-20.92,1
E01006306,-18.29,1
E01006365,3.63,1
E01006364,-1.07,1
E01006278,-19.55,1
E01006322,-20.85,1
E01006322,-20.48,1
E01006322,-20.15,1
E01006307,-18.75,1
E01006322,-15.07,1
E01006322,-15.61,1
E01006329,-16.19,1
E01006329,-15.8,1
E01006329,-15.91,1
E01006329,-16.43,1
E01006329,-15.9,1
E01006212,-15.48,1
E01006212,-15.28,1
E01006212,-14.51,1
E01006349,-11.39,1
E01006364,-1.13,1
E01006214,-15.87,1
E01006364,12.63,1
E01006365,8.95,1
E01006364,5.52,1
E01006310,-12.21,1
E01006212,-15.08,1
E01006284,-17.99,1
E01006365,7.28,1
E01006364,2.41,1
E01006364,-0.56,1
E01006334,-23.77,1
E01006334,-24.67,1
E01006328,-25.01,1
E01006334,-22.95,1
E01006336,-22.42,1
E01006283,-21.07,1
E01006282,-19.68,1
E01006282,-18.21,1
E01006322,-15.8,1
E01006322,-15.84,1
E01006284,-16.36,1
E01006219,-16.38,1
E01006215,-18.66,1
E01006213,-17.25,1
E01006213,-16.76,1
