"Passenger journeys on local bus services by local authority [note 5]: England, from year ending March 2010 [r] [note 6]",,,,,,,,,,,,,,,,,,
Passenger journeys (millions),,,,,,,,,,,,,,,,,,
Local Authority (LA) Code,LA or Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Notes
E06000062,West Northamptonshire,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],9.6,10.4,12.0,12.0,[z]
E06000018,Nottingham,48.0,48.6,49.6,48.7,48.7,49.2,47.6,49.4,48.2,48.8,43.7,15.6,29.9,37.1,41.1,42.9,[z]
E10000024,Nottinghamshire,34.1,34.7,34.4,33.6,33.0,32.5,31.7,30.0,28.7,27.7,25.9,8.8,17.8,21.7,23.9,24.4,[z]
E06000017,Rutland,0.3,0.2,0.3,0.1,0.4,0.1,0.1,0.3,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.2,[r] [note 7]
E12000005,West Midlands,399.4,380.0,364.0,355.1,360.7,352.8,341.5,330.4,321.2,324.3,302.6,117.7,213.2,256.0,282.5,295.3,[z]
E06000019,"Herefordshire, County of",3.1,3.3,3.1,3.2,3.1,2.8,2.5,2.4,2.1,2.0,1.7,0.5,1.1,1.5,1.5,1.8,[z]
E06000051,Shropshire,6.0,6.2,5.8,6.1,5.5,4.9,4.9,4.6,4.3,4.3,4.2,1.2,2.8,3.1,3.1,3.3,[z]
E10000028,Staffordshire,22.0,21.4,20.6,20.0,20.4,21.0,20.6,18.4,16.6,15.8,14.7,4.9,11.4,13.8,13.8,13.6,[r] [note 7]
E06000021,Stoke-on-Trent,15.6,14.2,14.0,12.7,13.4,12.0,10.6,10.2,10.4,9.3,8.6,3.0,5.6,6.7,7.9,8.4,[z]
E06000020,Telford and Wrekin,5.8,5.9,5.6,5.2,5.1,4.9,4.5,4.3,3.9,3.7,3.8,1.3,2.9,3.3,3.4,3.4,[z]
E10000031,Warwickshire,17.0,17.6,17.6,17.1,19.2,18.8,19.2,15.5,14.0,13.7,10.9,3.7,8.0,9.3,10.1,10.1,[r] [note 7]
E10000034,Worcestershire,15.9,17.2,16.3,15.4,14.9,13.9,12.7,11.2,10.7,10.5,9.7,2.7,6.0,6.9,7.6,8.2,[z]
E11000005,West Midlands CA,313.8,294.2,281.1,275.4,279.1,274.5,266.5,263.8,259.2,264.9,249.1,100.4,175.4,211.4,235.1,246.5,[z]
E12000006,East of England,188.6,189.9,189.5,185.7,189.7,186.6,181.8,187.4,174.3,175.2,169.8,58.6,111.6,141.2,155.7,161.9,[z]
E06000055,Bedford,7.4,7.2,6.7,6.4,6.9,6.1,6.5,6.5,6.1,5.7,5.2,1.5,3.1,3.7,4.1,4.1,[z]
E10000003,Cambridgeshire,22.7,22.3,21.7,21.9,22.1,22.0,20.5,20.0,19.9,19.9,19.4,6.2,12.5,17.4,18.6,19.7,[z]
E06000056,Central Bedfordshire,3.0,4.0,3.9,3.2,3.4,3.3,3.9,4.0,3.6,3.5,3.3,1.6,2.2,3.1,3.8,3.9,[z]
E10000012,Essex,46.7,45.8,46.9,45.9,45.7,45.3,43.8,44.3,44.8,42.4,40.4,13.5,27.4,35.3,38.3,39.5,[z]
E10000015,Hertfordshire,30.6,31.0,31.9,30.7,32.8,31.5,30.4,37.0,28.1,28.3,27.1,10.8,17.8,21.3,23.8,24.2,[r] [note 7]
E06000032,Luton,9.2,9.2,8.3,9.6,8.5,8.1,8.8,9.8,8.5,10.8,10.0,4.0,7.0,8.4,10.3,10.9,[z]
E10000020,Norfolk,27.5,29.6,29.7,28.6,29.4,28.8,27.6,27.6,27.4,27.8,27.7,8.3,17.9,21.9,25.6,27.7,[z]
E06000031,Peterborough,11.0,10.7,10.6,10.5,11.0,11.1,10.3,10.1,9.6,9.4,9.0,2.6,5.6,7.0,7.4,7.4,[z]
E06000033,Southend-on-Sea,8.7,8.5,8.2,7.8,7.7,7.7,7.3,7.6,7.3,7.4,7.2,3.1,5.2,5.9,6.6,6.9,[z]
E10000029,Suffolk,17.9,17.7,17.4,17.2,17.9,18.0,18.2,16.1,14.5,15.2,15.5,4.7,9.5,12.2,11.9,12.4,[z]
E06000034,Thurrock,3.8,4.0,4.1,4.0,4.4,4.6,4.5,4.5,4.5,4.8,5.1,2.3,3.4,5.0,5.3,5.3,[z]
E12000007,London,"2,238.2","2,269.2","2,323.9","2,314.6","2,384.1","2,363.6","2,292.6","2,240.3","2,225.3","2,197.8","2,090.6",856.2,"1,476.1","1,766.1","1,848.5","1,821.5",[z]
E12000008,South East,331.7,338.1,344.7,345.5,355.3,355.2,353.2,355.7,349.7,348.3,334.0,113.0,221.5,274.3,307.5,322.1,[z]
E06000036,Bracknell Forest,2.1,2.1,1.9,1.7,1.9,2.3,2.1,1.9,1.8,1.8,1.9,0.6,1.2,1.4,1.7,1.8,[z]
E06000043,Brighton and Hove,40.8,42.3,43.2,45.1,45.7,44.3,45.6,49.6,49.1,49.9,48.6,15.1,30.5,38.8,41.4,43.8,[z]
E06000060,Buckinghamshire excluding Milton Keynes,11.0,11.5,11.3,10.7,9.8,10.4,10.9,11.1,10.4,9.2,8.3,3.0,6.0,7.3,8.2,8.7,[r] [note 7]
E10000011,East Sussex,18.9,20.7,20.8,21.3,22.5,21.9,20.5,17.1,16.4,16.3,15.0,6.2,12.0,14.9,16.3,17.5,[z]
E10000014,Hampshire,30.3,31.1,31.9,31.6,32.2,32.2,30.6,31.6,31.4,31.1,29.1,9.9,18.0,20.9,24.4,26.6,[z]
E06000046,Isle of Wight,8.4,7.2,7.2,7.5,7.9,8.1,8.1,8.0,7.9,8.0,7.9,3.1,6.2,7.0,7.5,8.0,[z]
E10000016,Kent,57.8,58.4,58.8,60.3,62.3,57.8,56.0,56.7,55.2,53.6,51.5,15.2,36.0,40.8,46.1,44.9,[z]
E06000035,Medway,9.3,9.0,9.3,9.0,8.9,8.9,8.8,8.7,8.1,8.2,8.1,5.6,5.8,6.7,7.3,7.4,[r] [note 7]
E06000042,Milton Keynes,8.0,9.0,8.8,9.0,9.6,9.7,10.0,9.7,10.2,8.9,8.4,2.9,5.3,6.6,7.4,7.4,[z]
E10000025,Oxfordshire,35.8,36.3,39.2,40.8,43.2,42.4,42.1,41.4,40.6,41.9,40.7,11.7,25.5,33.8,37.7,39.5,[z]
E06000044,Portsmouth,10.5,10.8,10.9,10.1,10.3,10.6,11.1,10.9,11.6,11.0,9.9,3.9,7.8,9.4,11.5,11.9,[z]
E06000038,Reading,16.5,16.1,16.0,16.1,17.7,19.2,20.4,21.4,21.6,22.5,22.2,7.4,14.1,17.5,19.5,20.0,[z]
E06000039,Slough,4.7,4.9,5.2,4.8,4.8,5.2,4.9,4.9,5.1,5.0,4.6,1.9,2.9,3.8,5.0,5.5,[r] [note 7]
E06000045,Southampton,18.6,18.0,18.2,17.8,18.0,20.1,20.0,21.4,20.6,20.6,20.3,7.4,14.6,18.1,20.5,21.7,[z]
E10000030,Surrey,27.9,29.0,28.8,27.4,27.1,27.7,26.9,27.3,25.9,26.7,25.6,8.6,16.0,22.3,24.9,26.9,[z]
E06000037,West Berkshire,2.3,2.4,2.2,2.3,3.0,3.2,3.4,3.1,2.8,3.0,2.7,0.8,1.6,2.1,2.2,2.3,[z]
E10000032,West Sussex,24.6,25.3,26.6,26.1,26.5,27.3,27.4,27.1,26.9,26.5,24.8,8.6,15.6,19.5,22.1,24.2,[z]
E06000040,Windsor and Maidenhead,2.3,2.1,2.3,1.7,1.7,1.9,1.9,1.4,1.5,1.4,1.4,0.4,0.8,1.0,1.3,1.5,[z]
E06000041,Wokingham,2.0,2.1,2.1,2.1,2.1,2.2,2.4,2.3,2.4,2.8,2.8,0.8,1.7,2.2,2.5,2.6,[z]
E12000009,South West,202.0,206.2,209.4,202.5,210.1,215.7,218.5,221.1,217.0,217.0,199.0,68.4,136.6,158.1,182.6,192.4,[z]
E06000022,Bath and North East Somerset,11.4,11.5,11.6,10.3,12.0,12.2,12.9,12.4,11.9,14.7,12.0,2.9,7.9,9.4,12.8,13.1,[z]
E06000028,Bournemouth,15.6,15.0,17.6,17.6,18.2,18.5,18.6,17.8,18.0,16.3,15.2,[z],[z],[z],[z],[z],[z]
E06000058,"Bournemouth, Christchurch and Poole",[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],8.8,17.1,20.6,23.4,24.8,[z]
